Team,Event,Name,Sex,NOC,Year,City,Sport,Medal
Australia,Eventing Team,Andrew Hoy,M,AUS,2020,Tokyo,Equestrian,Silver
Australia,Men's 100m Freestyle,Kyle Chalmers,M,AUS,2020,Tokyo,Swimming,Silver
Australia,Men's 200m Breaststroke,Izaac Stubblety-cook,M,AUS,2020,Tokyo,Swimming,Gold
Australia,Men's 4 x 100m Freestyle Relay,Flynn Southam,M,AUS,2024,Paris,Swimming,Silver
Australia,Men's 4 x 100m Freestyle Relay Team,Kyle Chalmers,M,AUS,2020,Tokyo,Swimming,Bronze
Australia,Men's 4 x 200m Freestyle Relay,Elijah Winnington,M,AUS,2024,Paris,Swimming,Bronze
Australia,Men's 4 x 200m Freestyle Relay Team,Kyle Chalmers,M,AUS,2020,Tokyo,Swimming,Bronze
Australia,Men's 400m Freestyle,McLOUGHLIN Jack,M,AUS,2020,Tokyo,Swimming,Silver
Australia,Men's 57kg,Charlie Senior,M,AUS,2024,Paris,Boxing,Bronze
Australia,Men's Dinghy,Matt Wearn,M,AUS,2024,Paris,Sailing,Gold
Australia,Men's Four Team,Jack Hargreaves,M,AUS,2020,Tokyo,Rowing,Gold
Australia,Men's Individual Time Trial,Rohan Dennis,M,AUS,2020,Tokyo,Cycling Road,Bronze
Australia,Men's Kayak Double 500m,van Jean,M,AUS,2024,Paris,Canoe Sprint,Bronze
Australia,Men's Kayak Four 500m,Jackson Collins,M,AUS,2024,Paris,Canoe Sprint,Silver
Australia,Men's Light (57-63kg),Harry Garside,M,AUS,2020,Tokyo,Boxing,Bronze
Australia,Men's One Person Dinghy - Laser,Matt Wearn,M,AUS,2020,Tokyo,Sailing,Gold
Australia,Men's Park,Logan Martin,M,AUS,2020,Tokyo,Cycling BMX Freestyle,Gold
Australia,Men's Quadruple Sculls Team,Caleb Antill,M,AUS,2020,Tokyo,Rowing,Bronze
Australia,Men's Team Pursuit,Conor Leahy,M,AUS,2024,Paris,Cycling Track,Gold
Australia,Men's Team Pursuit Team,Leigh Howard,M,AUS,2020,Tokyo,Cycling Track,Bronze
Australia,Men's Team Sprint,Leigh Hoffman,M,AUS,2024,Paris,Cycling Track,Bronze
Australia,Men's Two Person Dinghy - 470 Team,Mathew Belcher,M,AUS,2020,Tokyo,Sailing,Gold
Australia,Men's Windsurfing,Grae Morris,M,AUS,2024,Paris,Sailing,Silver
Australia,Mixed 4 x 100m Medley Relay,McKEON Emma,F,AUS,2024,Paris,Swimming,Bronze
Australia,Mixed 4 x 100m Medley Relay Team,Bronte Campbell,F,AUS,2020,Tokyo,Swimming,Bronze
Australia,Mixed Doubles Team,Ashleigh Barty,F,AUS,2020,Tokyo,Tennis,Bronze
Australia,Rugby Sevens Women's Rugby Sevens,Nicole Beck,F,AUS,2016,Rio de Janeiro,Rugby Sevens,Gold
Australia,Sailing Men's Skiff,Iain Jensen,M,AUS,2012,London,Sailing,Gold
Australia,Taekwondo Men's Heavyweight,Daniel Trenton,M,AUS,2000,Sydney,Taekwondo,Silver
Australia,Taekwondo Women's Flyweight,Lauren (-muller),F,AUS,2000,Sydney,Taekwondo,Gold
Australia,Trampolining Men's Individual,Ji Wallace,M,AUS,2000,Sydney,Trampolining,Silver
Australia,Water Polo Women's Water Polo,Naomi Castle,F,AUS,2000,Sydney,Water Polo,Gold
Australia,Women's 100m Backstroke,McKEOWN Kaylee,F,AUS,2020,Tokyo,Swimming,Gold
Australia,Women's 100m Butterfly,McKEON Emma,F,AUS,2020,Tokyo,Swimming,Bronze
Australia,Women's 100m Freestyle,Cate Campbell,F,AUS,2020,Tokyo,Swimming,Bronze
Australia,Women's 10km,Kareena Lee,F,AUS,2020,Tokyo,Marathon Swimming,Bronze
Australia,Women's 200m Backstroke,McKEOWN Kaylee,F,AUS,2020,Tokyo,Swimming,Gold
Australia,Women's 200m Freestyle,Ariarne Titmus,F,AUS,2020,Tokyo,Swimming,Gold
Australia,Women's 4 x 100m Freestyle Relay,Bronte Campbell,F,AUS,2024,Paris,Swimming,Gold
Australia,Women's 4 x 100m Freestyle Relay Team,Bronte Campbell,F,AUS,2020,Tokyo,Swimming,Gold
Australia,Women's 4 x 100m Medley Relay,Alexandria Perkins,F,AUS,2024,Paris,Swimming,Silver
Australia,Women's 4 x 100m Medley Relay Team,Cate Campbell,F,AUS,2020,Tokyo,Swimming,Gold
Australia,Women's 4 x 200m Freestyle Relay,Ariarne Titmus,F,AUS,2024,Paris,Swimming,Gold
Australia,Women's 4 x 200m Freestyle Relay Team,Tamsin Cook,F,AUS,2020,Tokyo,Swimming,Bronze
Australia,Women's 75kg,Caitlin Parker,F,AUS,2024,Paris,Boxing,Bronze
Australia,Women's Canoe,Jessica Fox,F,AUS,2020,Tokyo,Canoe Slalom,Gold
Australia,Women's Canoe Single,Jessica Fox,F,AUS,2024,Paris,Canoe Slalom,Gold
Australia,Women's Four Team,McINTYRE Annabelle,F,AUS,2020,Tokyo,Rowing,Gold
Australia,Women's High Jump,McDERMOTT Nicola,F,AUS,2020,Tokyo,Athletics,Silver
Australia,Women's Javelin Throw,Kelsey-lee Barber,F,AUS,2020,Tokyo,Athletics,Bronze
Australia,Women's Kayak,Jessica Fox,F,AUS,2020,Tokyo,Canoe Slalom,Bronze
Australia,Women's Kayak Single,Jessica Fox,F,AUS,2024,Paris,Canoe Slalom,Gold
Australia,Women's Pair,McINTYRE Annabelle,F,AUS,2024,Paris,Rowing,Bronze
Australia,Women's Quadruple Sculls Team,Caitlin Cronin,F,AUS,2020,Tokyo,Rowing,Bronze
Austria,Men -81 kg,Shamil Borchashvili,M,AUT,2020,Tokyo,Judo,Bronze
Austria,Men's Boulder & Lead,Jakob Schubert,M,AUT,2024,Paris,Sport Climbing,Bronze
Austria,Men's Combined,Jakob Schubert,M,AUT,2020,Tokyo,Sport Climbing,Bronze
Austria,Men's Discus Throw,Lukas Weisshaidinger,M,AUT,2020,Tokyo,Athletics,Bronze
Austria,Men's Kite,Valentin Bontus,M,AUT,2024,Paris,Sailing,Gold
Austria,Mixed Dinghy,Lukas Maehr,M,AUT,2024,Paris,Sailing,Gold
Austria,Triathlon Women's Olympic Distance,Katherine (-diechtler),F,AUT,2004,Athina,Triathlon,Gold
Austria,Women -70 kg,Michaela Polleres,F,AUT,2020,Tokyo,Judo,Silver
Austria,Women's Boulder & Lead,Jessica Pilz,F,AUT,2024,Paris,Sport Climbing,Bronze
Austria,Women's Kumite -55kg,Bettina Plank,F,AUT,2020,Tokyo,Karate,Bronze
Austria,Women's Road Race,Anna Kiesenhofer,F,AUT,2020,Tokyo,Cycling Road,Gold
Austria,Women's Single Sculls,Magdalena Lobnig,F,AUT,2020,Tokyo,Rowing,Bronze
Azerbaijan,Boxing Men's Bantamweight,Aas Mmmdov,M,AZE,2004,Athina,Boxing,Bronze
Azerbaijan,Boxing Men's Flyweight,Fuad Aslanov,M,AZE,2004,Athina,Boxing,Bronze
Azerbaijan,Boxing Men's Middleweight,Vqar Lkbrov,M,AZE,2000,Sydney,Boxing,Bronze
Azerbaijan,"Canoeing Women's Kayak Singles, 200 metres",Inna Osypenko-radomska,F,AZE,2016,Rio de Janeiro,Canoeing,Bronze
Azerbaijan,Judo Men's Lightweight,Elnur Mmmdli,M,AZE,2008,Beijing,Judo,Gold
Azerbaijan,Men -58kg,Gashim Magomedov,M,AZE,2024,Paris,Taekwondo,Silver
Azerbaijan,Men's 92kg,Berto Alfonso,M,AZE,2024,Paris,Boxing,Silver
Azerbaijan,Men's Freestyle 125kg,Giorgi Meshvildishvili,M,AZE,2024,Paris,Wrestling,Bronze
Azerbaijan,Men's Freestyle 65kg,Haji Aliyev,M,AZE,2020,Tokyo,Wrestling,Silver
Azerbaijan,Men's Greco-Roman 67kg,Hasrat Jafarov,M,AZE,2024,Paris,Wrestling,Bronze
Azerbaijan,Men's Greco-Roman 77kg,Rafig Huseynov,M,AZE,2020,Tokyo,Wrestling,Bronze
Azerbaijan,Men's Kumite -75kg,Rafael Aghayev,M,AZE,2020,Tokyo,Karate,Silver
Azerbaijan,Men's Light Heavy (75-81kg),Berto Alfonso,M,AZE,2020,Tokyo,Boxing,Bronze
Azerbaijan,Shooting Women's Skeet,Zemfira Meftkhtddinova,F,AZE,2000,Sydney,Shooting,Gold
Azerbaijan,Taekwondo Men's Heavyweight,Radik Sayev,M,AZE,2016,Rio de Janeiro,Taekwondo,Gold
Azerbaijan,Taekwondo Women's Flyweight,Patimat Abakarova,F,AZE,2016,Rio de Janeiro,Taekwondo,Bronze
Azerbaijan,Women +78 kg,Iryna Kindzerska,F,AZE,2020,Tokyo,Judo,Bronze
Azerbaijan,Women's Freestyle 50kg,Mariya Stadnik,F,AZE,2020,Tokyo,Wrestling,Bronze
Azerbaijan,Women's Kumite +61kg,Iryna Zaretska,F,AZE,2020,Tokyo,Karate,Silver
Azerbaijan,"Wrestling Men's Featherweight, Greco-Roman",Rvn Bayramov,M,AZE,2008,Beijing,Wrestling,Silver
Azerbaijan,"Wrestling Women's Featherweight, Freestyle",Nataliya Siniin,F,AZE,2016,Rio de Janeiro,Wrestling,Bronze
Azerbaijan,"Wrestling Women's Flyweight, Freestyle",Mariya Stadnik,F,AZE,2008,Beijing,Wrestling,Bronze
Bahamas,Men's 400m,Steven Gardiner,M,BAH,2020,Tokyo,Athletics,Gold
Bahamas,Women's 400m,Shaunae Miller-uibo,F,BAH,2020,Tokyo,Athletics,Gold
Bahrain,Men's +102kg,Gor Minasyan,M,BRN,2024,Paris,Weightlifting,Bronze
Bahrain,Men's Freestyle 97kg,Akhmed Tazhudinov,M,BRN,2024,Paris,Wrestling,Gold
Bahrain,"Women's 10,000m",Kalkidan Gezahegne,F,BRN,2020,Tokyo,Athletics,Silver
Bahrain,Women's 400m,Eid Naser,F,BRN,2024,Paris,Athletics,Silver
Belarus,Athletics Women's 100 metres,Yuliya (bartsevich-),F,BLR,2004,Athina,Athletics,Gold
Belarus,Athletics Women's Shot Put,Yanina Provalinskaya-karolchik,F,BLR,2000,Sydney,Athletics,Gold
Belarus,Boxing Men's Light-Heavyweight,Magomed Aripgadzhiyev,M,BLR,2004,Athina,Boxing,Silver
Belarus,"Canoeing Men's Kayak Doubles, 200 metres",Vadim Makhnyov,M,BLR,2012,London,Canoeing,Silver
Belarus,"Canoeing Men's Kayak Doubles, 500 metres",Vadim Makhnyov,M,BLR,2004,Athina,Canoeing,Bronze
Belarus,Cycling Women's 500 metres Time Trial,Nataliya -minashkin),F,BLR,2004,Athina,Cycling,Bronze
Belarus,Individual All-Around,Alina Harnasko,F,BLR,2020,Tokyo,Rhythmic Gymnastics,Bronze
Belarus,Judo Men's Lightweight,Anatoly Laryukov,M,BLR,2000,Sydney,Judo,Bronze
Belarus,Men's Freestyle 74kg,Mahamedkhabib Kadzimahamedau,M,BLR,2020,Tokyo,Wrestling,Silver
Belarus,Modern Pentathlon Men's Individual,Pavel Dovgal,M,BLR,2000,Sydney,Modern Pentathlon,Bronze
Belarus,Rowing Women's Coxless Pairs,Yuliya Bichik,F,BLR,2004,Athina,Rowing,Bronze
Belarus,Tennis Mixed Doubles,Viktoriya Azarenko,F,BLR,2012,London,Tennis,Gold
Belarus,Weightlifting Men's Featherweight,Gennady Oleshchuk,M,BLR,2000,Sydney,Weightlifting,Bronze
Belarus,Weightlifting Men's Lightweight,Sergey Lavrenov,M,BLR,2000,Sydney,Weightlifting,Bronze
Belarus,Weightlifting Women's Middleweight,Anna Batyushko,F,BLR,2004,Athina,Weightlifting,Silver
Belarus,Women's Freestyle 53kg,Vanesa Kaladzinskaya,F,BLR,2020,Tokyo,Wrestling,Bronze
Belarus,Women's Freestyle 57kg,Iryna Kurachkina,F,BLR,2020,Tokyo,Wrestling,Silver
Belarus,Women's Kayak Four 500m Team,Volha Khudzenka,F,BLR,2020,Tokyo,Canoe Sprint,Silver
Belarus,"Wrestling Men's Super-Heavyweight, Greco-Roman",Dmitry Debelka,M,BLR,2000,Sydney,Wrestling,Bronze
Belgium,Cycling Men's Madison,tienne Wilde,M,BEL,2000,Sydney,Cycling,Silver
Belgium,Judo Women's Extra-Lightweight,Ann Simons,F,BEL,2000,Sydney,Judo,Bronze
Belgium,Jumping Team,Niels Bruynseels,M,BEL,2020,Tokyo,Equestrian,Bronze
Belgium,Men -81 kg,Matthias Casse,M,BEL,2020,Tokyo,Judo,Bronze
Belgium,Men Team,Gauthier Boccard,M,BEL,2020,Tokyo,Hockey,Gold
Belgium,Men's Marathon,Bashir Abdi,M,BEL,2020,Tokyo,Athletics,Bronze
Belgium,Women -67kg,Sarah Chaari,F,BEL,2024,Paris,Taekwondo,Bronze
Belgium,Women -70 kg,Gabriella Willems,F,BEL,2024,Paris,Judo,Bronze
Belgium,Women's Heptathlon,Nafissatou Thiam,F,BEL,2020,Tokyo,Athletics,Gold
Bermuda,Women's Individual,Flora Duffy,F,BER,2020,Tokyo,Triathlon,Gold
Bonaparte,"Equestrianism Mixed Dressage, Team",Heike Kemmer,F,GER,2008,Beijing,Equestrianism,Gold
Botswana,Men's 200m,Letsile Tebogo,M,BOT,2024,Paris,Athletics,Gold
Botswana,Men's 4 x 400m Relay,Letsile Tebogo,M,BOT,2024,Paris,Athletics,Silver
Botswana,Men's 4 x 400m Relay Team,Isaac Makwala,M,BOT,2020,Tokyo,Athletics,Bronze
Brazil,Boxing Women's Lightweight,Adriana Arajo,F,BRA,2012,London,Boxing,Bronze
Brazil,Men,Italo Ferreira,M,BRA,2020,Tokyo,Surfing,Gold
Brazil,Men -66 kg,Daniel Cargnin,M,BRA,2020,Tokyo,Judo,Bronze
Brazil,Men Team,ABNER,M,BRA,2020,Tokyo,Football,Gold
Brazil,Men's 200m Freestyle,Fernando Scheffer,M,BRA,2020,Tokyo,Swimming,Bronze
Brazil,Men's 400m Hurdles,dos Alison,M,BRA,2020,Tokyo,Athletics,Bronze
Brazil,Men's 50m Freestyle,Bruno Fratus,M,BRA,2020,Tokyo,Swimming,Bronze
Brazil,Men's Heavy (81-91kg),Abner Teixeira,M,BRA,2020,Tokyo,Boxing,Bronze
Brazil,Men's Middle (69-75kg),Hebert Sousa,M,BRA,2020,Tokyo,Boxing,Gold
Brazil,Men's Park,Pedro Barros,M,BRA,2020,Tokyo,Skateboarding,Silver
Brazil,Men's Pole Vault,Thiago Braz,M,BRA,2020,Tokyo,Athletics,Bronze
Brazil,Sailing Men's Two Person Keelboat,Marcelo Ferreira,M,BRA,2004,Athina,Sailing,Gold
Brazil,Sailing Women's Skiff,Martine Grael,F,BRA,2016,Rio de Janeiro,Sailing,Gold
Brazil,Taekwondo Men's Heavyweight,Maicon Siqueira,M,BRA,2016,Rio de Janeiro,Taekwondo,Bronze
Brazil,Women -78 kg,Mayra Aguiar,F,BRA,2020,Tokyo,Judo,Bronze
Brazil,Women's 10km,Marcela Cunha,F,BRA,2020,Tokyo,Marathon Swimming,Gold
Brazil,Women's 60kg,Iasmin Soares,F,BRA,2024,Paris,Boxing,Bronze
Brazil,Women's All-Around,Rebeca Andrade,F,BRA,2020,Tokyo,Artistic Gymnastics,Silver
Brazil,Women's Doubles Team,Laura Pigossi,F,BRA,2020,Tokyo,Tennis,Bronze
Brazil,Women's Light (57-60kg),Beatriz Ferreira,F,BRA,2020,Tokyo,Boxing,Silver
Brazil,Women's Skiff - 49er  Team,Martine Grael,F,BRA,2020,Tokyo,Sailing,Gold
Brazil,Women's Vault,Rebeca Andrade,F,BRA,2020,Tokyo,Artistic Gymnastics,Gold
Bulgaria,Group All-Around Team,Simona Dyankova,F,BUL,2020,Tokyo,Rhythmic Gymnastics,Gold
Bulgaria,Men's 57kg,Javier Ibanez,M,BUL,2024,Paris,Boxing,Bronze
Bulgaria,Men's 89kg,May Nasar,M,BUL,2024,Paris,Weightlifting,Gold
Bulgaria,Men's Freestyle 86kg,Eldarovitch Ramazanov,M,BUL,2024,Paris,Wrestling,Gold
Bulgaria,Men's Greco-Roman 87kg,Sergeevich Novikov,M,BUL,2024,Paris,Wrestling,Gold
Bulgaria,Women -57kg,Alizadeh Kimia,F,BUL,2024,Paris,Taekwondo,Bronze
Bulgaria,Women's Fly (48-51kg),Zhelyazkova Krasteva,F,BUL,2020,Tokyo,Boxing,Gold
Bulgaria,Women's Freestyle 57kg,Georgieva Nikolova,F,BUL,2020,Tokyo,Wrestling,Bronze
Bulgaria,Women's Freestyle 62kg,Mustafa Yusein,F,BUL,2020,Tokyo,Wrestling,Bronze
Bulgaria,Women's Kumite -55kg,Ivet Goranova,F,BUL,2020,Tokyo,Karate,Gold
Bulgaria,"Wrestling Women's Flyweight, Freestyle",Elitsa Yankova,F,BUL,2016,Rio de Janeiro,Wrestling,Bronze
Burkina Faso,Men's Triple Jump,Fabrice Zango,M,BUR,2020,Tokyo,Athletics,Bronze
Cabo Verde,Men's 51kg,de David,M,CPV,2024,Paris,Boxing,Bronze
Canada,B-Boys,Wizard Phil,M,CAN,2024,Paris,Breaking,Gold
Canada,"Canoeing Men's Kayak Singles, 200 metres",Mark Jonge,M,CAN,2012,London,Canoeing,Bronze
Canada,Cycling Women's Team Pursuit,Gillian Carleton,F,CAN,2012,London,Cycling,Bronze
Canada,Diving Women's Synchronized Platform,Emilie-Joane Heymans,F,CAN,2000,Sydney,Diving,Silver
Canada,Men's 200m Butterfly,Ilya Kharun,M,CAN,2024,Paris,Swimming,Bronze
Canada,Men's 4 x 100m Relay,Eliezer Adjibi,M,CAN,2024,Paris,Athletics,Gold
Canada,Men's 4 x 100m Relay Team,Bolade Ajomale,M,CAN,2020,Tokyo,Athletics,Bronze
Canada,Men's 5000m,Mohammed Ahmed,M,CAN,2020,Tokyo,Athletics,Silver
Canada,Men's 63.5kg,Wyatt Sanford,M,CAN,2024,Paris,Boxing,Bronze
Canada,Men's Synchronised 10m Platform,Nathan Zsombor-murray,M,CAN,2024,Paris,Diving,Bronze
Canada,Mixed Doubles,Gabriela Dabrowski,F,CAN,2024,Paris,Tennis,Bronze
Canada,Rugby Sevens Women's Rugby Sevens,Brittany Benn,F,CAN,2016,Rio de Janeiro,Rugby Sevens,Bronze
Canada,Sailing Men's Two Person Keelboat,David Macdonald,M,CAN,2004,Athina,Sailing,Silver
Canada,Softball Team,Jenna Caira,F,CAN,2020,Tokyo,Baseball/Softball,Bronze
Canada,Swimming Men's 10 kilometres Open Water,Richard Weinberger,M,CAN,2012,London,Swimming,Bronze
Canada,Taekwondo Women's Heavyweight,Dominique Bosshart,F,CAN,2000,Sydney,Taekwondo,Bronze
Canada,Taekwondo Women's Welterweight,Karine Sergerie,F,CAN,2008,Beijing,Taekwondo,Silver
Canada,Trampolining Men's Individual,Mathieu Turgeon,M,CAN,2000,Sydney,Trampolining,Bronze
Canada,Trampolining Women's Individual,Karen (-turgeon),F,CAN,2000,Sydney,Trampolining,Bronze
Canada,Triathlon Men's Olympic Distance,Simon Whitfield,M,CAN,2000,Sydney,Triathlon,Gold
Canada,Women -57 kg,Jessica Klimkait,F,CAN,2020,Tokyo,Judo,Bronze
Canada,Women -63 kg,Catherine Beauchemin-pinard,F,CAN,2020,Tokyo,Judo,Bronze
Canada,Women's 100m Backstroke,Kylie Masse,F,CAN,2020,Tokyo,Swimming,Silver
Canada,Women's 100m Butterfly,Margaret Macneil,F,CAN,2020,Tokyo,Swimming,Gold
Canada,Women's 200m Backstroke,Kylie Masse,F,CAN,2020,Tokyo,Swimming,Silver
Canada,Women's 200m Butterfly,McINTOSH Summer,F,CAN,2024,Paris,Swimming,Gold
Canada,Women's 4 x 100m Freestyle Relay Team,Margaret Macneil,F,CAN,2020,Tokyo,Swimming,Silver
Canada,Women's 4 x 100m Medley Relay Team,Margaret Macneil,F,CAN,2020,Tokyo,Swimming,Bronze
Canada,Women's 64kg,G Charron,F,CAN,2020,Tokyo,Weightlifting,Gold
Canada,Women's Canoe Double 500m,Katie Vincent,F,CAN,2024,Paris,Canoe Sprint,Bronze
Canada,Women's Canoe Double 500m Team,Katie Vincent,F,CAN,2020,Tokyo,Canoe Sprint,Bronze
Canada,Women's Eight,Abby Dent,F,CAN,2024,Paris,Rowing,Silver
Canada,Women's Eight Team,Susanne Grainger,F,CAN,2020,Tokyo,Rowing,Gold
Canada,Women's Keirin,Lauriane Genest,F,CAN,2020,Tokyo,Cycling Track,Bronze
Canada,Women's Pair Team,Caileigh Filmer,F,CAN,2020,Tokyo,Rowing,Bronze
Canada,Women's Synchronised 3m Springboard Team,Jennifer Abel,F,CAN,2020,Tokyo,Diving,Silver
Canada,"Wrestling Women's Lightweight, Freestyle",Tonya Verbeek,F,CAN,2004,Athina,Wrestling,Silver
China,10m Air Pistol Men,Wei Pang,M,CHN,2020,Tokyo,Shooting,Bronze
China,10m Air Pistol Women,Ranxin Jiang,F,CHN,2020,Tokyo,Shooting,Bronze
China,10m Air Rifle Men,Lihao Sheng,M,CHN,2020,Tokyo,Shooting,Silver
China,25m Pistol Women,Jiaruixuan Xiao,F,CHN,2020,Tokyo,Shooting,Bronze
China,25m Rapid Fire Pistol Men,Yuehong Li,M,CHN,2020,Tokyo,Shooting,Bronze
China,50m Rifle 3 Positions Men,Changhong Zhang,M,CHN,2020,Tokyo,Shooting,Gold
China,B-Girls,671,F,CHN,2024,Paris,Breaking,Bronze
China,Boxing Men's Super-Heavyweight,Zhang Zhilei,M,CHN,2008,Beijing,Boxing,Silver
China,Boxing Women's Flyweight,Ren Cancan,F,CHN,2012,London,Boxing,Silver
China,Boxing Women's Middleweight,Li Jinzi,F,CHN,2012,London,Boxing,Bronze
China,Cycling Women's 500 metres Time Trial,Jiang Cuihua,F,CHN,2000,Sydney,Cycling,Bronze
China,Cycling Women's Keirin,Guo Shuang,F,CHN,2012,London,Cycling,Silver
China,Cycling Women's Team Sprint,Gong Jinjie,F,CHN,2012,London,Cycling,Silver
China,Diving Men's Synchronized Platform,Hu Jia,M,CHN,2000,Sydney,Diving,Silver
China,Diving Men's Synchronized Springboard,Xiao Hailiang,M,CHN,2000,Sydney,Diving,Gold
China,Diving Women's Synchronized Platform,Li Na,F,CHN,2000,Sydney,Diving,Gold
China,Diving Women's Synchronized Springboard,Fu Mingxia,F,CHN,2000,Sydney,Diving,Silver
China,Duet,Liuyi Wang,F,CHN,2024,Paris,Artistic Swimming,Gold
China,Duet Team,Xuechen Huang,F,CHN,2020,Tokyo,Artistic Swimming,Silver
China,"Fencing Women's Sabre, Individual",Tan Xue,F,CHN,2004,Athina,Fencing,Silver
China,"Fencing Women's Sabre, Team",Bao Yingying,F,CHN,2008,Beijing,Fencing,Silver
China,"Fencing Women's epee, Team",Li Na,F,CHN,2000,Sydney,Fencing,Bronze
China,Golf Women's Individual,Feng Shanshan,F,CHN,2016,Rio de Janeiro,Golf,Bronze
China,Group All-Around,Xinyi Ding,F,CHN,2024,Paris,Rhythmic Gymnastics,Gold
China,Men,Dong Dong,M,CHN,2020,Tokyo,Trampoline Gymnastics,Silver
China,Men -68kg,Shuai Zhao,M,CHN,2020,Tokyo,Taekwondo,Bronze
China,Men's 102kg,Huanhua Liu,M,CHN,2024,Paris,Weightlifting,Gold
China,Men's 10m Platform,Yuan Cao,M,CHN,2020,Tokyo,Diving,Gold
China,Men's 3m Springboard,Zongyuan Wang,M,CHN,2020,Tokyo,Diving,Silver
China,Men's 4 x 100m Medley Relay,Jiajun Sun,M,CHN,2024,Paris,Swimming,Gold
China,Men's 61kg,Fabin Li,M,CHN,2020,Tokyo,Weightlifting,Gold
China,Men's 67kg,Lijun Chen,M,CHN,2020,Tokyo,Weightlifting,Gold
China,Men's 73kg,Zhiyong Shi,M,CHN,2020,Tokyo,Weightlifting,Gold
China,Men's 81kg,Xiaojun Lyu,M,CHN,2020,Tokyo,Weightlifting,Gold
China,Men's Canoe Double 1000m Team,Hao Liu,M,CHN,2020,Tokyo,Canoe Sprint,Silver
China,Men's Canoe Double 500m,Bowen Ji,M,CHN,2024,Paris,Canoe Sprint,Gold
China,Men's Canoe Single 1000m,Hao Liu,M,CHN,2020,Tokyo,Canoe Sprint,Silver
China,Men's Double Sculls Team,Zhiyu Liu,M,CHN,2020,Tokyo,Rowing,Bronze
China,Men's Doubles,Keng Liang,M,CHN,2024,Paris,Badminton,Silver
China,Men's Doubles Team,Hui Li,M,CHN,2020,Tokyo,Badminton,Silver
China,Men's Greco-Roman 130kg,Lingzhe Meng,M,CHN,2024,Paris,Wrestling,Bronze
China,Men's Greco-Roman 60kg,Sailike Walihan,M,CHN,2020,Tokyo,Wrestling,Bronze
China,Men's Singles,Long Chen,M,CHN,2020,Tokyo,Badminton,Silver
China,Men's Synchronised 10m Platform,Hao Yang,M,CHN,2024,Paris,Diving,Gold
