Name,Year,Sex,Team,NOC,City,Sport,Event,Medal
Abbey Weitzeil,2016,F,United States,USA,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Abbos Atayev,2012,M,Uzbekistan,UZB,London,Boxing,Boxing Men's Middleweight,Bronze
Abby Andrews,2024,F,Australia,AUS,Paris,Water Polo,Women,Silver
Abby Bishop,2012,F,Australia,AUS,London,Basketball,Basketball Women's Basketball,Bronze
Abby Dahlkemper,2020,F,United States,USA,Tokyo,Football,Women Team,Bronze
Abby Dent,2024,F,Canada,CAN,Paris,Rowing,Women's Eight,Silver
Abde Ezzalzouli,2024,M,Morocco,MAR,Paris,Football,Men,Bronze
Abdel Achik,1988,M,Morocco,MAR,Seoul,Boxing,Boxing Men's Featherweight,Bronze
Abdel El-gindy,1960,M,United Arab Republic,UAR,Roma,Boxing,Boxing Men's Flyweight,Bronze
Abdel Rashid,1952,M,Egypt,EGY,Helsinki,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
Abdelghani Yalouz,1996,M,France,FRA,Atlanta,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
Abderrahmane Zaheer,2000,M,Algeria,ALG,Sydney,Athletics,Athletics Men's High Jump,Bronze
Abdi Nageeye,2020,M,Netherlands,NED,Tokyo,Athletics,Men's Marathon,Silver
Abdon Pamich,1960,M,Italy,ITA,Roma,Athletics,Athletics Men's 50 kilometres Walk,Bronze
Abdoul Alfaga,2016,M,Niger,NIG,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,Silver
Abdoulaye Papa,1960,M,France,FRA,Roma,Athletics,Athletics Men's 200 metres,Bronze
Abdul Al-hasan,1984,M,Pakistan,PAK,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Abdul Aziz,1960,M,Iraq,IRQ,Roma,Weightlifting,Weightlifting Men's Lightweight,Bronze
Abdul Hamid,1956,M,Pakistan,PAK,Melbourne,Hockey,Hockey Men's Hockey,Silver
Abdul Khan,1960,M,Pakistan,PAK,Roma,Hockey,Hockey Men's Hockey,Gold
Abdul Rashid,1968,M,Pakistan,PAK,Mexico City,Hockey,Hockey Men's Hockey,Gold
Abdul-Rashid Sadulayev,2016,M,Russia,RUS,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Abdullah Al-rashidi,2016,M,Individual Olympic Athletes,IOA,Rio de Janeiro,Shooting,Shooting Men's Skeet,Bronze
Abdullah Al-sharbatly,2012,M,Saudi Arabia,KSA,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Abdullah Alrashidi,2020,M,Kuwait,KUW,Tokyo,Shooting,Skeet Men,Bronze
Abdullah Ardabili,1968,M,Iran,IRI,Mexico City,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Abdullah Yildirmis,2024,M,TГјrkiye,TUR,Paris,Archery,Men's Team,Bronze
Abdullahi Shehu,2016,M,Nigeria,NGR,Rio de Janeiro,Football,Football Men's Football,Bronze
Abdullo Tangriyev,2008,M,Uzbekistan,UZB,Beijing,Judo,Judo Men's Heavyweight,Silver
Abdulrashid Sadulaev,2020,M,Russia,ROC,Tokyo,Wrestling,Men's Freestyle 97kg,Gold
Abdumalik Khalokov,2024,M,Uzbekistan,UZB,Paris,Boxing,Men's 57kg,Gold
Abe Wiersma,2020,M,Netherlands,NED,Tokyo,Rowing,Men's Quadruple Sculls Team,Gold
Abebe Bikila,1960,M,Ethiopia,ETH,Roma,Athletics,Athletics Men's Marathon,Gold
Abel Kirui,2012,M,Kenya,KEN,London,Athletics,Athletics Men's Marathon,Silver
Abel Laudonio,1960,M,Argentina,ARG,Roma,Boxing,Boxing Men's Lightweight,Bronze
Abel Mutai,2012,M,Kenya,KEN,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Abel Ruiz,2024,M,Spain,ESP,Paris,Football,Men,Gold
Abel Serdio,2024,M,Spain,ESP,Paris,Handball,Men,Bronze
Abelardo Antua,1992,M,Spain,ESP,Barcelona,Football,Football Men's Football,Gold
Abhinav Bindra,2008,M,India,IND,Beijing,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
Abhishek Abhishek,2024,M,India,IND,Paris,Hockey,Men,Bronze
Abigail Johnston,2012,F,United States,USA,London,Diving,Diving Women's Synchronized Springboard,Silver
Abiodun Obafemi,1996,M,Nigeria,NGR,Atlanta,Football,Football Men's Football,Gold
Abishag Semberg,2020,F,Israel,ISR,Tokyo,Taekwondo,Women -49kg,Bronze
Abner Teixeira,2020,M,Brazil,BRA,Tokyo,Boxing,Men's Heavy (81-91kg),Bronze
Abraham Kibiwot,2024,M,Kenya,KEN,Paris,Athletics,Men's 3000m Steeplechase,Bronze
Abraham Lomans,1996,M,Netherlands,NED,Atlanta,Hockey,Hockey Men's Hockey,Gold
Abraham Manzano,1996,M,Spain,ESP,Atlanta,Cycling,Cycling Men's Individual Time Trial,Silver
Abramo Albini,1968,M,Italy,ITA,Mexico City,Rowing,Rowing Men's Coxless Fours,Bronze
Abutaleb Gorgori,1968,M,Iran,IRI,Mexico City,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
Ace Rusevski,1976,M,Yugoslavia,YUG,Montreal,Boxing,Boxing Men's Lightweight,Bronze
Acer Nethercott,2008,M,Great Britain,GBR,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
Achim Hill,1960,M,Germany,GER,Roma,Rowing,Rowing Men's Single Sculls,Silver
Achraf Hakimi,2024,M,Morocco,MAR,Paris,Football,Men,Bronze
Ada Arroyo,2012,F,Mexico,MEX,London,Archery,Archery Women's Individual,Silver
Adam Botek,2020,M,Slovakia,SVK,Tokyo,Canoe Sprint,Men's Kayak Four 500m Team,Bronze
Adam Burgess,2024,M,Great Britain,GBR,Paris,Canoe Slalom,Men's Canoe Single,Silver
Adam Commens,2000,M,Australia,AUS,Sydney,Hockey,Hockey Men's Hockey,Bronze
Adam Koeverden,2004,M,Canada,CAN,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
Adam Koeverden,2004,M,Canada,CAN,Athina,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
Adam Korol,2008,M,Poland,POL,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
Adam Kreek,2008,M,Canada,CAN,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
Adam Krzesiski,1992,M,Poland,POL,Barcelona,Fencing,"Fencing Men's Foil, Team",Bronze
Adam Lisewski,1968,M,Poland,POL,Mexico City,Fencing,"Fencing Men's Foil, Team",Bronze
Adam Nelson,2000,M,United States,USA,Sydney,Athletics,Athletics Men's Shot Put,Silver
Adam Peaty,2016,M,Great Britain,GBR,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Adam Peaty,2016,M,Great Britain,GBR,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,Gold
Adam Pine,2000,M,Australia,AUS,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Adam Pine,2000,M,Australia,AUS,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Adam Robak,1980,M,Poland,POL,Moskva,Fencing,"Fencing Men's Foil, Team",Bronze
Adam Sandurski,1980,M,Poland,POL,Moskva,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
Adam Saytiyev,2000,M,Russia,RUS,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Adam Seroczyski,2000,M,Poland,POL,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Adam Smelczyski,1956,M,Poland,POL,Melbourne,Shooting,Shooting Men's Trap,Silver
Adam Tomasiak,1980,M,Poland,POL,Moskva,Rowing,Rowing Men's Coxed Fours,Bronze
Adam Varga,2020,M,Hungary,HUN,Tokyo,Canoe Sprint,Men's Kayak Single 1000m,Silver
Adam Vella,2004,M,Australia,AUS,Athina,Shooting,Shooting Men's Trap,Bronze
Adam Wheeler,2008,M,United States,USA,Beijing,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Adam Wiercioch,2008,M,Poland,POL,Beijing,Fencing,"Fencing Men's epee, Team",Silver
Adam Wright,2008,M,United States,USA,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
Adar Friedmann,2024,F,Israel,ISR,Paris,Rhythmic Gymnastics,Group All-Around,Silver
Addis Abebe,1992,M,Ethiopia,ETH,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
Ade Alleyne-forte,2012,M,Trinidad and Tobago,TTO,London,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Adelheid (-grundmann),1960,F,Germany,GER,Roma,Fencing,"Fencing Women's Foil, Individual",Gold
Adelheid (hauri-),1984,F,Switzerland,SUI,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Adelina Cojocariu-bogus,2016,F,Romania,ROU,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
Adelina Zagidullina,2020,F,Russia,ROC,Tokyo,Fencing,Women's Foil Team,Gold
Adelmo Bulgarelli,1956,M,Italy,ITA,Melbourne,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Adem Bereket,2000,M,Turkey,TUR,Sydney,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
Ademir Kaefer,1984,M,Brazil,BRA,Los Angeles,Football,Football Men's Football,Silver
Adenzia Silva,2012,F,Brazil,BRA,London,Volleyball,Volleyball Women's Volleyball,Gold
Adesio Rossi,1952,M,Uruguay,URU,Helsinki,Basketball,Basketball Men's Basketball,Bronze
Adhemar Silva,1952,M,Brazil,BRA,Helsinki,Athletics,Athletics Men's Triple Jump,Gold
Adiel Lpez,2004,M,Cuba,CUB,Athina,Baseball,Baseball Men's Baseball,Gold
Adil Atan,1952,M,Turkey,TUR,Helsinki,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Adil Osmanov,2024,M,Republic of Moldova,MDA,Paris,Judo,Men -73 kg,Bronze
Adil Tahif,2024,M,Morocco,MAR,Paris,Football,Men,Bronze
Adilbek Niyazymbetov,2012,M,Kazakhstan,KAZ,London,Boxing,Boxing Men's Light-Heavyweight,Silver
Adla Skorov-bruns,2012,F,Czech Republic,CZE,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
Adlan Varayev,1988,M,Soviet Union,URS,Seoul,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
Admir Smaji,1984,M,Yugoslavia,YUG,Los Angeles,Football,Football Men's Football,Bronze
Adolf Seger,1972,M,West Germany,FRG,Munich,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
Adolfna Tkakov-taov,1960,F,Czechoslovakia,TCH,Roma,Gymnastics,Gymnastics Women's Team All-Around,Silver
Adolfo Martnez,1980,M,Cuba,CUB,Moskva,Boxing,Boxing Men's Featherweight,Silver
Adrian Adams,1980,M,Great Britain,GBR,Moskva,Judo,Judo Men's Lightweight,Silver
Adrian Bernabe,2024,M,Spain,ESP,Paris,Football,Men,Gold
Adrian Burnside,2004,M,Australia,AUS,Athina,Baseball,Baseball Men's Baseball,Silver
Adrian Cosma,1972,M,Romania,ROU,Munich,Handball,Handball Men's Handball,Bronze
Adrian Dantley,1976,M,United States,USA,Montreal,Basketball,Basketball Men's Basketball,Gold
Adrian Ellison,1984,M,Great Britain,GBR,Los Angeles,Rowing,Rowing Men's Coxed Fours,Gold
Adrian Figueras,2020,M,Spain,ESP,Tokyo,Handball,Men Team,Bronze
Adrian Jardine,1968,M,Great Britain,GBR,Mexico City,Sailing,Sailing Mixed 5.5 metres,Bronze
Adrian Metcalfe,1964,M,Great Britain,GBR,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Adrian Monger,1956,M,Australia,AUS,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze
Adrian Moorhouse,1988,M,Great Britain,GBR,Seoul,Swimming,Swimming Men's 100 metres Breaststroke,Gold
Adrian Mora,2020,M,Mexico,MEX,Tokyo,Football,Men Team,Bronze
Adrian Parker,1976,M,Great Britain,GBR,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Adrian Simion,1984,M,Romania,ROU,Los Angeles,Handball,Handball Men's Handball,Bronze
Adrian Smith,1960,M,United States,USA,Roma,Basketball,Basketball Men's Basketball,Gold
Adrian Weinberg,2024,M,United States,USA,Paris,Water Polo,Men,Bronze
Adrian Zieliski,2012,M,Poland,POL,London,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
Adriana Adam,2024,F,Romania,ROU,Paris,Rowing,Women's Eight,Gold
Adriana Arajo,2012,F,Brazil,BRA,London,Boxing,Boxing Women's Lightweight,Bronze
Adriana Behar,2000,F,Brazil-1,BRA,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
Adriana Cerezo,2020,F,Spain,ESP,Tokyo,Taekwondo,Women -49kg,Silver
Adriana Chelariu-bazon,1984,F,Romania,ROU,Los Angeles,Rowing,Rowing Women's Coxed Eights,Silver
Adriana Dunavska,1988,F,Bulgaria,BUL,Seoul,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver
Adriana Gutirrez,2004,F,Venezuela,VEN,Athina,Taekwondo,Taekwondo Women's Heavyweight,Bronze
Adriana Leon,2020,F,Canada,CAN,Tokyo,Football,Women Team,Gold
Adriana Pinto,2000,F,Brazil,BRA,Sydney,Basketball,Basketball Women's Basketball,Bronze
Adriana Plaats,1988,F,Netherlands,NED,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Adriana Ruano,2024,F,Guatemala,GUA,Paris,Shooting,Trap Women,Gold
Adriana Samuel,1996,F,Brazil-2,BRA,Atlanta,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
Adriana Santos,1996,F,Brazil,BRA,Atlanta,Basketball,Basketball Women's Basketball,Silver
Adrianna Franch,2020,F,United States,USA,Tokyo,Football,Women Team,Bronze
Adrien Dipanda,2016,M,France,FRA,Rio de Janeiro,Handball,Handball Men's Handball,Silver
Adrien Hardy,2004,M,France,FRA,Athina,Rowing,Rowing Men's Double Sculls,Gold
Adrien Truffert,2024,M,France,FRA,Paris,Football,Men,Silver
Adrienne Lyle,2020,F,United States,USA,Tokyo,Equestrian,Dressage Team,Silver
Adrienne Martelli,2012,F,United States,USA,London,Rowing,Rowing Women's Quadruple Sculls,Bronze
Aeji Im,2024,F,Korea,KOR,Paris,Boxing,Women's 54kg,Bronze
Aeriwentha (-starr),1952,F,United States,USA,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Afanase Sciotnic,1964,M,Romania,ROU,Tokyo,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Afanasijs Kuzmins,1988,M,Soviet Union,URS,Seoul,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Agafia Orlov-buhaev-constantin,1984,F,Romania,ROU,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Agata Wrbel,2000,F,Poland,POL,Sydney,Weightlifting,Weightlifting Women's Super-Heavyweight,Silver
Ageeth Boomgaardt,2000,F,Netherlands,NED,Sydney,Hockey,Hockey Women's Hockey,Bronze
Agnes (-olatunji),2008,F,Nigeria,NGR,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Agnese Duranti,2020,F,Italy,ITA,Tokyo,Rhythmic Gymnastics,Group All-Around Team,Bronze
Agneta Andersson,1984,F,Sweden,SWE,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
Agneta Andersson,1984,F,Sweden,SWE,Los Angeles,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Agneta Andersson,1984,F,Sweden,SWE,Los Angeles,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Agnete Carlsen,1996,F,Norway,NOR,Atlanta,Football,Football Women's Football,Bronze
Agnieszka (-sadowska),1980,F,Poland,POL,Moskva,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
Agnieszka Kobus,2016,F,Poland,POL,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Bronze
Agnieszka Kobus-zawojska,2020,F,Poland,POL,Tokyo,Rowing,Women's Quadruple Sculls Team,Silver
Agnieszka Skrzypulec,2020,F,Poland,POL,Tokyo,Sailing,Women's Two Person Dinghy - 470 Team,Silver
Agnieszka Wieszczek-kordus,2008,F,Poland,POL,Beijing,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Bronze
Agnis Cavars,2020,M,Latvia,LAT,Tokyo,3x3 Basketball,Men Team,Gold
Agostina Alonso,2020,F,Argentina,ARG,Tokyo,Hockey,Women Team,Silver
Agostino Abbagnale,1988,M,Italy,ITA,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
Agostino Straulino,1952,M,Merope,ITA,Helsinki,Sailing,Sailing Mixed Two Person Keelboat,Gold
Agustin Casado,2024,M,Spain,ESP,Paris,Handball,Men,Bronze
Agustin Loser,2020,M,Argentina,ARG,Tokyo,Volleyball,Men Team,Bronze
Agustina Albertarrio,2020,F,Argentina,ARG,Tokyo,Hockey,Women Team,Silver
Agustina Garca,2000,F,Argentina,ARG,Sydney,Hockey,Hockey Women's Hockey,Silver
Agustina Gorzelany,2020,F,Argentina,ARG,Tokyo,Hockey,Women Team,Silver
Agustn Mazzilli,2016,M,Argentina,ARG,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
Agustn Reyna,1968,M,Mexico,MEX,Mexico City,Boxing,Boxing Men's Middleweight,Bronze
Ahmad Abughaush,2016,M,Jordan,JOR,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
Ahmed Al-maktoum,2004,M,United Arab Emirates,UAE,Athina,Shooting,Shooting Men's Double Trap,Gold
Ahmed Bunda,1956,M,Pakistan,PAK,Melbourne,Hockey,Hockey Men's Hockey,Silver
Ahmed Elgendy,2020,M,Egypt,EGY,Tokyo,Modern Pentathlon,Men's Individual,Silver
Ahmed Hafnaoui,2020,M,Tunisia,TUN,Tokyo,Swimming,Men's 400m Freestyle,Gold
Ahmed Houssein,1988,M,Djibouti,DJI,Seoul,Athletics,Athletics Men's Marathon,Bronze
Ahmed Shamy,2004,M,Egypt,EGY,Athina,Boxing,Boxing Men's Light-Heavyweight,Bronze
Ahmed Tijan,2020,M,Qatar,QAT,Tokyo,Beach Volleyball,Men Team,Bronze
Ahmet Ayk,1964,M,Turkey,TUR,Tokyo,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Ahmet Bilek,1960,M,Turkey,TUR,Roma,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
Ai Fukuhara,2012,F,Japan,JPN,London,Table Tennis,Table Tennis Women's Team,Silver
Ai Otomo-yamamoto,2012,F,Japan,JPN,London,Volleyball,Volleyball Women's Volleyball,Bronze
Ai Shibata,2004,F,Japan,JPN,Athina,Swimming,Swimming Women's 800 metres Freestyle,Gold
Aida Shanayeva,2008,F,Russia,RUS,Beijing,Fencing,"Fencing Women's Foil, Team",Gold
Aidan Walsh,2020,M,Ireland,IRL,Tokyo,Boxing,Men's Welter (63-69kg),Bronze
Aifric Keogh,2020,F,Ireland,IRL,Tokyo,Rowing,Women's Four Team,Bronze
Aigars Fadejevs,2000,M,Latvia,LAT,Sydney,Athletics,Athletics Men's 50 kilometres Walk,Silver
Aika Hakoyama,2016,F,Japan,JPN,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Aikaterini Stefanidi,2016,F,Greece,GRE,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,Gold
Aikaterini Thanou,2000,F,Greece,GRE,Sydney,Athletics,Athletics Women's 100 metres,Silver
Aimar Oroz,2024,M,Spain,ESP,Paris,Football,Men,Gold
Aimilia Tsoulfa,2004,F,Greece,GRE,Athina,Sailing,Sailing Women's Two Person Dinghy,Gold
Aimo-Rhys Heilmann,1996,M,Germany,GER,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Ainrs Kovals,2008,M,Latvia,LAT,Beijing,Athletics,Athletics Men's Javelin Throw,Silver
Aira Villegas,2024,F,Philippines,PHI,Paris,Boxing,Women's 50kg,Bronze
Aisen Chen,2020,M,China,CHN,Tokyo,Diving,Men's Synchronised 10m Platform Team,Silver
Aisuluu Tynybekova,2020,F,Kyrgyzstan,KGZ,Tokyo,Wrestling,Women's Freestyle 62kg,Silver
Aitor Castro,1996,M,Spain,ESP,Atlanta,Handball,Handball Men's Handball,Bronze
Aivars Lazdenieks,1976,M,Soviet Union,URS,Montreal,Rowing,Rowing Men's Quadruple Sculls,Silver
Ajitpal Kular,1968,M,India,IND,Mexico City,Hockey,Hockey Men's Hockey,Bronze
Ak'ak'i Chachua,2000,M,Georgia,GEO,Sydney,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
Akakios Kakiasvili,1992,M,Unified Team,EUN,Barcelona,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
Akani Simbine,2024,M,South Africa,RSA,Paris,Athletics,Men's 4 x 100m Relay,Silver
Akari Fujinami,2024,F,Japan,JPN,Paris,Wrestling,Women's Freestyle 53kg,Gold
Akbar Djuraev,2020,M,Uzbekistan,UZB,Tokyo,Weightlifting,Men's 109kg,Gold
Akeem Haynes,2016,M,Canada,CAN,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Akhmed Tazhudinov,2024,M,Bahrain,BRN,Paris,Wrestling,Men's Freestyle 97kg,Gold
Akhtar Kamboh,1972,M,Pakistan,PAK,Munich,Hockey,Hockey Men's Hockey,Silver
Akhtarul Islam,1972,M,Pakistan,PAK,Munich,Hockey,Hockey Men's Hockey,Silver
Aki Takayama,1992,F,Japan,JPN,Barcelona,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
Akihiro Togo,1992,M,Japan,JPN,Barcelona,Baseball,Baseball Men's Baseball,Bronze
Akiko Kawase,1996,F,Japan,JPN,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Akinobu Osako,1988,M,Japan,JPN,Seoul,Judo,Judo Men's Middleweight,Bronze
Akinori Nakayama,1968,M,Japan,JPN,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Akinori Nakayama,1968,M,Japan,JPN,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,Gold
Akinori Nakayama,1968,M,Japan,JPN,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Akinori Nakayama,1968,M,Japan,JPN,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,Gold
Akinori Nakayama,1968,M,Japan,JPN,Mexico City,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Akinori Nakayama,1968,M,Japan,JPN,Mexico City,Gymnastics,Gymnastics Men's Rings,Gold
Akio Kaminaga,1964,M,Japan,JPN,Tokyo,Judo,Judo Men's Open Class,Silver
Akira Komata,2024,M,Japan,JPN,Paris,Fencing,Men's Г‰pГ©e Team,Silver
Akira Kono,1956,M,Japan,JPN,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Silver
Akira Kudo,1976,M,Japan,JPN,Montreal,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
Akira Ota,1984,M,Japan,JPN,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Akira Sone,2020,F,Japan,JPN,Tokyo,Judo,Women +78 kg,Gold
Akira Sone,2020,F,Japan,JPN,Tokyo,Judo,Mixed Team,Silver
Akiyo Noguchi,2020,F,Japan,JPN,Tokyo,Sport Climbing,Women's Combined,Bronze
Akram Nakach,2024,M,Morocco,MAR,Paris,Football,Men,Bronze
Akzhol Makhmudov,2020,M,Kyrgyzstan,KGZ,Tokyo,Wrestling,Men's Greco-Roman 77kg,Silver
Akzhurek Tanatarov,2012,M,Kazakhstan,KAZ,London,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
Al-Tahar Al-tamsamani,2000,M,Morocco,MAR,Sydney,Boxing,Boxing Men's Featherweight,Bronze
