Team,Year,Name,Sex,NOC,City,Sport,Event,Medal
Fiji,2016,Leone Nakarawa,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Ro Dakuwaqa,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Apisai Domolailai,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Kitione Taliga,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Osea Kolinisau,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Jasa Veremalua,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Samisoni Viriviri,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Semi Kunatani,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Josua Ratulevu,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Seremaia Vunisa,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Savenaca Rawaca,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Fiji,2016,Vatemo Ravouvou,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Gabon,2012,Anthony Mylann,M,GAB,London,Taekwondo,Taekwondo Men's Heavyweight,Silver
Grenada,2012,Kirani James,M,GRN,London,Athletics,Athletics Men's 400 metres,Gold
Guatemala,2012,Erick Garca,M,GUA,London,Athletics,Athletics Men's 20 kilometres Walk,Silver
"Hong Kong, China",2020,Minnie Soo,F,HKG,Tokyo,Table Tennis,Women's Team,Bronze
"Hong Kong, China",2020,Long Cheung,M,HKG,Tokyo,Fencing,Men's Foil Individual,Gold
"Hong Kong, China",2020,Kem Doo,F,HKG,Tokyo,Table Tennis,Women's Team,Bronze
"Hong Kong, China",2020,Grace Lau,F,HKG,Tokyo,Karate,Women's Kata,Bronze
"Hong Kong, China",2020,Ching Lee,F,HKG,Tokyo,Table Tennis,Women's Team,Bronze
"Hong Kong, China",2020,Sze Lee,F,HKG,Tokyo,Cycling Track,Women's Sprint,Bronze
"Hong Kong, China",2020,Bernadette Haughey,F,HKG,Tokyo,Swimming,Women's 100m Freestyle,Silver
"Hong Kong, China",2020,Bernadette Haughey,F,HKG,Tokyo,Swimming,Women's 200m Freestyle,Silver
IR Iran,2024,Hossein Zare,M,IRI,Paris,Wrestling,Men's Freestyle 125kg,Silver
IR Iran,2024,Amirali Azarpira,M,IRI,Paris,Wrestling,Men's Freestyle 97kg,Bronze
IR Iran,2024,Hassan Yazdanicharati,M,IRI,Paris,Wrestling,Men's Freestyle 86kg,Silver
IR Iran,2024,Rahman Amouzadkhalili,M,IRI,Paris,Wrestling,Men's Freestyle 65kg,Silver
IR Iran,2024,Alireza Mohmadipiani,M,IRI,Paris,Wrestling,Men's Greco-Roman 87kg,Silver
IR Iran,2024,Amin Mirzazadeh,M,IRI,Paris,Wrestling,Men's Greco-Roman 130kg,Bronze
IR Iran,2024,Mohammadhadi Saravi,M,IRI,Paris,Wrestling,Men's Greco-Roman 97kg,Gold
IR Iran,2024,Saeid Esmaeili,M,IRI,Paris,Wrestling,Men's Greco-Roman 67kg,Gold
IR Iran,2024,Arian Salimi,M,IRI,Paris,Taekwondo,Men +80kg,Gold
IR Iran,2024,Mehran Barkhordari,M,IRI,Paris,Taekwondo,Men -80kg,Silver
IR Iran,2024,Nahid Kiyanichandeh,F,IRI,Paris,Taekwondo,Women -57kg,Silver
IR Iran,2024,Mobina Nematzadeh,F,IRI,Paris,Taekwondo,Women -49kg,Bronze
Ivory Coast,2020,Ruth Gbagbi,F,CIV,Tokyo,Taekwondo,Women -67kg,Bronze
Jordan,2016,Ahmad Abughaush,M,JOR,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
Korea,2024,Yerin Jung,F,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Hyekyeong Lee,F,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Jihee Jeon,F,KOR,Paris,Table Tennis,Women's Team,Bronze
Korea,2024,Eunhye Lee,F,KOR,Paris,Table Tennis,Women's Team,Bronze
Korea,2024,Jonghoon Lim,M,KOR,Paris,Table Tennis,Mixed Doubles,Bronze
Korea,2024,Yubin Shin,F,KOR,Paris,Table Tennis,Women's Team,Bronze
Korea,2024,Yubin Shin,F,KOR,Paris,Table Tennis,Mixed Doubles,Bronze
Korea,2024,Baul An,M,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Juyeo Han,M,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Mimi Huh,F,KOR,Paris,Judo,Women -57 kg,Silver
Korea,2024,Mimi Huh,F,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Hayun Kim,F,KOR,Paris,Judo,Women +78 kg,Bronze
Korea,2024,Hayun Kim,F,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Jisu Kim,F,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Minjong Kim,M,KOR,Paris,Judo,Men +100 kg,Silver
Korea,2024,Minjong Kim,M,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Jin Kim,M,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Joonhwan Lee,M,KOR,Paris,Judo,Men -81 kg,Bronze
Korea,2024,Joonhwan Lee,M,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Hyunji Yoon,F,KOR,Paris,Judo,Mixed Team,Bronze
Korea,2024,Sebin Choi,F,KOR,Paris,Fencing,Women's Sabre Team,Silver
Korea,2024,Gyeongdong Do,M,KOR,Paris,Fencing,Men's Sabre Team,Gold
Korea,2024,Bongil Gu,M,KOR,Paris,Fencing,Men's Sabre Team,Gold
Korea,2024,Eunhye Jeon,F,KOR,Paris,Fencing,Women's Sabre Team,Silver
Korea,2024,Hayoung Jeon,F,KOR,Paris,Fencing,Women's Sabre Team,Silver
Korea,2024,Sanguk Oh,M,KOR,Paris,Fencing,Men's Sabre Individual,Gold
Korea,2024,Sanguk Oh,M,KOR,Paris,Fencing,Men's Sabre Team,Gold
Korea,2024,Sangwon Park,M,KOR,Paris,Fencing,Men's Sabre Team,Gold
Korea,2024,Jisu Yoon,F,KOR,Paris,Fencing,Women's Sabre Team,Silver
Korea,2024,Woomin Kim,M,KOR,Paris,Swimming,Men's 400m Freestyle,Bronze
Korea,2024,Seungmin Seong,F,KOR,Paris,Modern Pentathlon,Women's Individual,Bronze
Korea,2024,Yujin Kim,F,KOR,Paris,Taekwondo,Women -57kg,Gold
Korea,2024,Dabin Lee,F,KOR,Paris,Taekwondo,Women +67kg,Bronze
Korea,2024,Taejoon Park,M,KOR,Paris,Taekwondo,Men -58kg,Gold
Korea,2024,Jihyeon Keum,F,KOR,Paris,Shooting,10m Air Rifle Mixed Team,Silver
Korea,2024,Yeji Kim,F,KOR,Paris,Shooting,10m Air Pistol Women,Silver
Korea,2024,Jin Oh,F,KOR,Paris,Shooting,10m Air Pistol Women,Gold
Korea,2024,Hajun Park,M,KOR,Paris,Shooting,10m Air Rifle Mixed Team,Silver
Korea,2024,Jiin Yang,F,KOR,Paris,Shooting,25m Pistol Women,Gold
Korea,2024,Hyejeong Park,F,KOR,Paris,Weightlifting,Women's +81kg,Silver
Korea,2024,Young An,F,KOR,Paris,Badminton,Women's Singles,Gold
Korea,2024,Eun Jeong,F,KOR,Paris,Badminton,Mixed Doubles,Silver
Korea,2024,Ho Kim,M,KOR,Paris,Badminton,Mixed Doubles,Silver
Korea,2024,Hyojin Ban,F,KOR,Paris,Shooting,10m Air Rifle Women,Gold
Korea,2024,Yeongjae Cho,M,KOR,Paris,Shooting,25m Rapid Fire Pistol Men,Silver
Korea,2024,Aeji Im,F,KOR,Paris,Boxing,Women's 54kg,Bronze
Korea,2024,Suhyeon Nam,F,KOR,Paris,Archery,Women's Team,Gold
Korea,2024,Suhyeon Nam,F,KOR,Paris,Archery,Women's Individual,Silver
Korea,2024,Sihyeon Lim,F,KOR,Paris,Archery,Mixed Team,Gold
Korea,2024,Sihyeon Lim,F,KOR,Paris,Archery,Women's Team,Gold
Korea,2024,Hunyoung Jeon,F,KOR,Paris,Archery,Women's Team,Gold
Korea,2024,Deok Kim,M,KOR,Paris,Archery,Men's Team,Gold
Korea,2024,Woojin Kim,M,KOR,Paris,Archery,Men's Individual,Gold
Korea,2024,Woojin Kim,M,KOR,Paris,Archery,Men's Team,Gold
Korea,2024,Woojin Kim,M,KOR,Paris,Archery,Mixed Team,Gold
Korea,2024,Wooseok Lee,M,KOR,Paris,Archery,Men's Individual,Bronze
Korea,2024,Wooseok Lee,M,KOR,Paris,Archery,Men's Team,Gold
Korea,2024,Sihyeon Lim,F,KOR,Paris,Archery,Women's Individual,Gold
Kosovo,2016,Majlinda Kelmendi,F,KOS,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,Gold
Kuwait,2000,Fehaid Al-deehani,M,KUW,Sydney,Shooting,Shooting Men's Double Trap,Bronze
Kyrgyzstan,2000,Aydyn Smagulov,M,KGZ,Sydney,Judo,Judo Men's Extra-Lightweight,Bronze
Macedonia,2000,Mogamed Ibragimov,M,MKD,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Mauritius,2008,Louis Julie,M,MRI,Beijing,Boxing,Boxing Men's Bantamweight,Bronze
Montenegro,2012,Suzana Lazovi,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Marija Jovanovi,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Sonja Barjaktarovi,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Bojana (petrovi-),F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Marina Vukevi-raji,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Milena Kneevi-raievi,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Ana Radovi,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Jovanka Radievi,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Katarina Bulatovi,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Anela Bulatovi,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Majda Mehmedovi,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Maja Savi,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Ana Oki,F,MNE,London,Handball,Handball Women's Handball,Silver
Montenegro,2012,Radmila Miljani-petrovi,F,MNE,London,Handball,Handball Women's Handball,Silver
Nadine,2008,Hans Minderhoud,M,NED,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
North Macedonia,2020,Dejan Georgievski,M,MKD,Tokyo,Taekwondo,Men +80kg,Silver
Paraguay,2004,Celso Gonzlez,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Pablo Gimnez,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Julio Ferreira,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Julio Ferreira,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Osvaldo Gimnez,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Diego Matiauda,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Jos Snchez,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Carlos Pavon,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Emilio Martnez,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Julio Caffarena,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Jos Otaz,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Pedro Domnguez,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Aureliano Romn,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Fredy Gamarra,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Ernesto Cruz,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,dgar Cceres,M,PAR,Athina,Football,Football Men's Football,Silver
Paraguay,2004,Diego Cceres,M,PAR,Athina,Football,Football Men's Football,Silver
Republic of Moldova,2024,Adil Osmanov,M,MDA,Paris,Judo,Men -73 kg,Bronze
Republic of Moldova,2024,Anastasia Nichita,F,MDA,Paris,Wrestling,Women's Freestyle 57kg,Silver
Republic of Moldova,2024,Denis Vieru,M,MDA,Paris,Judo,Men -66 kg,Bronze
Republic of Moldova,2024,Serghei Tarnovschi,M,MDA,Paris,Canoe Sprint,Men's Canoe Single 1000m,Bronze
Saint Lucia,2024,Julien Alfred,F,LCA,Paris,Athletics,Women's 100m,Gold
Saint Lucia,2024,Julien Alfred,F,LCA,Paris,Athletics,Women's 200m,Silver
Salinero,2008,Theodora Grunsven,F,NED,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
San Marino,2020,Alessandra Perilli,F,SMR,Tokyo,Shooting,Trap Women,Bronze
San Marino,2020,Alessandra Perilli,F,SMR,Tokyo,Shooting,Trap Mixed Team,Silver
San Marino,2020,Nazem Amine,M,SMR,Tokyo,Wrestling,Men's Freestyle 86kg,Bronze
San Marino,2020,Marco Berti,M,SMR,Tokyo,Shooting,Trap Mixed Team,Silver
Satchmo,2008,Isabelle Werth,F,GER,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Saudi Arabia,2000,Hadi Jaadan,M,KSA,Sydney,Athletics,Athletics Men's 400 metres Hurdles,Silver
Saudi Arabia,2000,Khaled Al-eid,M,KSA,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Serbia,2008,Novak Okovi,M,SRB,Beijing,Tennis,Tennis Men's Singles,Bronze
Serbia,2008,Aleksandar Iri,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Milorad Avi,M,SRB,Beijing,Swimming,Swimming Men's 100 metres Butterfly,Silver
Serbia,2008,Vanja Udovii,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Vladimir Vujasinovi,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Andrija Prlainovi,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Aleksandar Api,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Dejan Savi,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,ivko Goci,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Denis Efik,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Nikola Raen,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Branko Pekovi,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Filip Filipovi,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Slobodan Soro,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2008,Duko Pijetlovi,M,SRB,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Sudan,2008,Ismail Ismail,M,SUD,Beijing,Athletics,Athletics Men's 800 metres,Silver
Sunrise,2008,Imke Schellekens-bartels,F,NED,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Tajikistan,2008,Yusup Abdusalomov,M,TJK,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Tajikistan,2008,Rasul Boqiev,M,TJK,Beijing,Judo,Judo Men's Lightweight,Bronze
Togo,2008,Benjamin Boukpeti,M,TOG,Beijing,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
Turkmenistan,2020,Polina Guryeva,F,TKM,Tokyo,Weightlifting,Women's 59kg,Silver
TГјrkiye,2024,Naz Cakiroglu,F,TUR,Paris,Boxing,Women's 50kg,Silver
TГјrkiye,2024,Hatice Akbas,F,TUR,Paris,Boxing,Women's 54kg,Silver
TГјrkiye,2024,Esra Yildiz,F,TUR,Paris,Boxing,Women's 57kg,Bronze
TГјrkiye,2024,Nafia Kus,F,TUR,Paris,Taekwondo,Women +67kg,Bronze
TГјrkiye,2024,Buse Cavusoglu,F,TUR,Paris,Wrestling,Women's Freestyle 68kg,Bronze
TГјrkiye,2024,Taha Akgul,M,TUR,Paris,Wrestling,Men's Freestyle 125kg,Bronze
TГјrkiye,2024,Ilayda Tarhan,F,TUR,Paris,Shooting,10m Air Pistol Mixed Team,Silver
TГјrkiye,2024,Yusuf Dikec,M,TUR,Paris,Shooting,10m Air Pistol Mixed Team,Silver
TГјrkiye,2024,Mete Gazoz,M,TUR,Paris,Archery,Men's Team,Bronze
TГјrkiye,2024,Berkim Tumer,M,TUR,Paris,Archery,Men's Team,Bronze
TГјrkiye,2024,Abdullah Yildirmis,M,TUR,Paris,Archery,Men's Team,Bronze
United Arab Emirates,2004,Ahmed Al-maktoum,M,UAE,Athina,Shooting,Shooting Men's Double Trap,Gold
Vietnam,2000,Trn Ngn,F,VIE,Sydney,Taekwondo,Taekwondo Women's Featherweight,Silver
